,Case ID,K means cluster
479,ECLI-NL-RBOVE-2021-3410,20
480,ECLI-NL-GHAMS-2021-2184,65
481,ECLI-NL-GHAMS-2021-2171,65
482,ECLI-NL-RBAMS-2020-4864,21
483,ECLI-NL-CRVB-2020-1454,Selling
484,ECLI-NL-GHAMS-2019-5125,Transport
485,ECLI-NL-RBLIM-2018-3476,Possession
486,ECLI-NL-OGEAA-2018-16,Transport
487,ECLI-NL-RBGEL-2015-7308,49
488,ECLI-NL-OGHACMB-2013-CA0522,19
489,ECLI-NL-RBROE-2012-BV2738,42
490,ECLI-NL-CRVB-2010-BL0860,41
491,ECLI-NL-GHAMS-2003-AO2771,42
492,ECLI-NL-RBOBR-2020-4540,3
493,ECLI-NL-RBOVE-2019-1457,9
494,ECLI-NL-RBNNE-2018-2703,Possession
495,ECLI-NL-RBOVE-2014-5830,42
496,ECLI-NL-GHAMS-2011-BQ8115,Transport
497,ECLI-NL-RBAMS-2021-6892,Selling
498,ECLI-NL-RBAMS-2021-3580,55
499,ECLI-NL-RBOVE-2021-2537,Possession
500,ECLI-NL-RBZWB-2021-1088,5
501,ECLI-NL-GHAMS-2020-3695,65
502,ECLI-NL-RBGEL-2020-6662,Possession
503,ECLI-NL-GHAMS-2019-3858,42
504,ECLI-NL-RBAMS-2018-4698,Selling
505,ECLI-NL-RBMNE-2015-5797,9
506,ECLI-NL-RBARN-2012-BW1082,0
507,ECLI-NL-RBALM-2004-AO9833,9
508,ECLI-NL-RBAMS-2021-6894,Selling
509,ECLI-NL-RBDHA-2021-3368,Possession
510,ECLI-NL-RBOVE-2020-4165,Selling
511,ECLI-NL-RBMNE-2020-477,5
512,ECLI-NL-RBAMS-2019-7594,55
513,ECLI-NL-RBAMS-2019-4297,Selling
514,ECLI-NL-GHAMS-2018-5202,Transport
515,ECLI-NL-RBGEL-2018-1951,65
516,ECLI-NL-OGEAC-2015-9,Transport
517,ECLI-NL-GHSHE-2009-BH0705,Production
518,ECLI-NL-RBROT-2021-10941,Selling
